alg,impl,system,nnode,nproc,nthread,n,r,matmul1p1,matmul1p2,matmul1p3,matmul2p1,matmul2p2,matmul2p3,total_time,gen_omega_time,dgemm1_time,dgemm2_time,all2all_time,reduce_scatter_time,reduce_scatter_1_time,reduce_scatter_2_time,unpack_time,pack_time
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,32,128,32,50000,5000,16,8,1,1,128,1,1.213707,0.310672,0.625822,0.121294,0.0,0.0,0.003669,0.111134,0.0,0.021694
nystrom-1d-redist-1d,cpp,perlmutter-gpu,4,16,32,50000,5000,16,1,1,1,1,16,0.554856,0.066099,0.372837,0.037909,0.254364,0.0,0.0,0.0,0.018562,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,2,8,32,50000,5000,4,2,1,1,8,1,10.53443,0.279891,9.130926,0.956247,0.0,0.0,0.030353,0.054195,0.0,0.065203
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,8,32,32,50000,500,32,1,1,32,1,1,0.699284,0.05778,0.037905,0.004602,0.0,0.746184,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,64,256,32,50000,5000,256,1,1,1,1,256,0.422726,0.090797,0.060378,0.000387,0.085917,0.0,0.0,0.0,0.116873,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,64,256,32,50000,5000,16,16,1,1,256,1,2.844171,0.09471,0.05084,0.005215,0.0,0.0,0.000977,2.546638,0.0,0.083782
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,64,256,32,50000,5000,256,1,1,1,1,256,1.072109,0.3165,0.40631,0.293593,0.032096,0.0,0.0,0.0,0.007484,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,128,512,32,50000,5000,512,1,1,1,1,512,1.604414,0.488982,0.57843,0.458759,0.036585,0.0,0.0,0.0,0.015865,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,16,64,32,50000,5000,8,8,1,1,64,1,1.632251,0.263774,1.086143,0.162631,0.0,0.0,0.006064,0.049288,0.0,0.041093
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,1,4,32,100000,500,2,2,1,1,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,16,64,32,50000,500,8,8,1,1,64,1,0.301813,0.112996,0.156721,0.004948,0.0,0.0,0.00181,0.003996,0.0,0.00508
nystrom-1d-redist-1d,cpp,perlmutter-gpu,128,512,32,50000,500,512,1,1,1,1,512,0.442024,0.074139,0.034633,0.001311,0.023487,0.0,0.0,0.0,0.155594,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,16,64,32,50000,500,64,1,1,1,1,64,0.239355,0.066611,0.161409,0.034123,0.04128,0.0,0.0,0.0,0.003878,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,128,512,32,50000,5000,512,1,1,512,1,1,2.016282,0.485654,0.540296,0.143083,0.0,0.815836,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,32,128,32,50000,500,128,1,1,1,1,128,0.226979,0.124153,0.134855,0.041031,0.106132,0.0,0.0,0.0,0.005593,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,128,512,32,50000,5000,512,1,1,1,1,512,0.855806,0.159052,0.050165,0.009059,0.349686,0.0,0.0,0.0,0.155768,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,1,4,32,100000,5000,4,1,1,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,1,4,32,50000,5000,4,1,1,1,1,4,20.424927,0.197371,17.727386,2.357035,0.278218,0.0,0.0,0.0,0.050136,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,16,64,32,50000,5000,64,1,1,1,1,64,0.257328,0.093996,0.120427,0.012441,0.255962,0.0,0.0,0.0,0.036834,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,64,256,32,50000,5000,16,16,1,1,256,1,3.196261,0.091521,0.050021,0.005245,0.0,0.0,0.001007,2.81035,0.0,0.082269
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,32,128,32,50000,5000,128,1,1,128,1,1,1.041894,0.242987,0.69572,0.115141,0.0,0.208643,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,4,16,32,50000,500,16,1,1,1,1,16,0.22724,0.049982,0.047898,0.009423,0.162644,0.0,0.0,0.0,0.017875,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,8,32,32,50000,5000,32,1,1,1,1,32,2.72581,0.199474,2.255041,0.256777,0.120888,0.0,0.0,0.0,0.010506,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,4,16,32,50000,500,16,1,1,1,1,16,0.555991,0.040043,0.489552,0.025472,0.023128,0.0,0.0,0.0,0.003417,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,4,16,32,50000,500,4,4,1,1,16,1,0.66786,0.111393,0.505508,0.028533,0.0,0.0,0.003272,0.001211,0.0,0.009389
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,16,64,32,50000,500,64,1,1,1,1,64,0.282053,0.103848,0.177334,0.022873,0.094895,0.0,0.0,0.0,0.003845,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,1,4,32,50000,5000,2,2,1,1,4,1,20.689584,0.279502,16.209985,1.66197,0.0,0.0,0.057649,0.044687,0.0,0.125443
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,1,4,32,50000,500,4,1,1,4,1,1,0.334554,0.138832,0.21645,0.001695,0.0,0.064905,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,2,8,32,50000,500,8,1,1,1,1,8,0.199492,0.025088,0.083081,0.009131,0.12183,0.0,0.0,0.0,0.011962,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,4,16,32,50000,5000,16,1,1,1,1,16,0.624841,0.026607,0.383444,0.037914,0.194121,0.0,0.0,0.0,0.018056,0.0
