alg,impl,system,nnode,nproc,thread_per_proc,a_rows,a_cols,b_rows,b_cols,p1,p2,p3,gather_a_time,gen_a_time,gen_b_time,gather_b_time,local_multiply_time,cpu_gpu_data_move_time,scatter_reduce_time,timestamp
matmul1gen,cpp,perlmutter-gpu-cpu,2,32,8,50000,50000,50000,500,32,1,1,0.0,-1.0,0.076946,0.0,0.899846,0.0,0.0,2026-02-13T07:26:23
matmul1gen,cpp,perlmutter-gpu-cpu,64,256,32,500000,1000000,1000000,1000,256,1,1,0.0,-1.0,0.673416,0.0,10.771812,0.0,0.0,2026-02-17T11:54:29
matmul1gen,cpp,perlmutter-gpu-cpu,16,64,32,50000,50000,50000,5000,64,1,1,0.0,-1.0,0.224556,0.0,1.149299,0.0,0.0,2026-02-14T20:44:22
matmul1gen,cpp,perlmutter-gpu-cpu,4,16,32,50000,50000,50000,500,16,1,1,0.0,-1.0,0.036474,0.0,0.477863,0.0,0.0,2026-02-14T20:49:36
matmul1gen,cpp,perlmutter-gpu-cpu,16,256,8,50000,50000,50000,500,256,1,1,0.0,-1.0,0.083222,0.0,0.148577,0.0,0.0,2026-02-13T07:32:52
matmul,cpp,perlmutter-gpu-cpu,2,8,32,50000,50000,50000,500,4,2,1,0.310955,0.2564,0.021649,0.028386,0.884328,0.0,0.02018,2026-06-04T09:29:29
matmul,cpp,perlmutter-gpu-cpu,16,64,32,50000,50000,50000,500,8,8,1,0.0418,0.034337,0.01886,0.014463,0.137049,0.0,0.016181,2026-06-04T09:30:27
matmul1comm,cpp,perlmutter-gpu-cpu,8,128,8,50000,50000,50000,500,128,1,1,0.0,-1.0,0.145854,0.146443,0.21726,0.0,0.0,2026-02-13T07:40:25
matmul1gen,cpp,perlmutter-gpu-cpu,192,768,32,1000000,1000000,1000000,1000,768,1,1,0.0,-1.0,0.648713,0.0,7.449684,0.0,0.0,2026-02-14T21:02:39
matmul1comm,cpp,perlmutter-gpu-cpu,1,4,32,50000,50000,50000,500,4,1,1,0.0,-1.0,0.078274,0.048914,1.720778,0.0,0.0,2026-02-14T21:01:30
matmul1comm,cpp,perlmutter-gpu-cpu,2,8,32,50000,50000,50000,500,8,1,1,0.0,-1.0,0.041885,0.06125,0.845276,0.0,0.0,2026-02-14T20:57:17
matmul1comm,cpp,perlmutter-gpu-cpu,32,128,32,50000,50000,50000,5000,128,1,1,0.0,-1.0,0.019306,0.834533,0.603131,0.0,0.0,2026-02-14T20:46:24
matmul1gen,cpp,perlmutter-gpu-cpu,16,256,8,50000,50000,50000,5000,256,1,1,0.0,-1.0,0.70492,0.0,1.278347,0.0,0.0,2026-02-13T07:25:04
matmul1gen,cpp,perlmutter-gpu-cpu,4,16,32,50000,50000,50000,500,16,1,1,0.0,-1.0,0.035983,0.0,0.441856,0.0,0.0,2026-02-14T20:50:25
matmul1comm,cpp,perlmutter-gpu-cpu,32,512,8,50000,50000,50000,5000,512,1,1,0.0,-1.0,0.166689,0.963838,0.868445,0.0,0.0,2026-02-13T07:47:03
matmul,cpp,perlmutter-gpu-cpu,2,8,32,50000,50000,50000,5000,4,2,1,0.310593,0.259917,0.039389,0.240877,8.829743,0.0,0.144323,2026-06-04T09:27:29
matmul1comm,cpp,perlmutter-gpu-cpu,1,16,8,50000,50000,50000,5000,16,1,1,0.0,-1.0,0.043615,0.875936,15.753402,0.0,0.0,2026-02-13T07:20:38
matmul1gen,cpp,perlmutter-gpu-cpu,512,2048,32,1000000,1000000,1000000,1000,2048,1,1,0.0,-1.0,0.674248,0.0,3.239838,0.0,0.0,2026-02-16T00:54:30
matmul1comm,cpp,perlmutter-gpu-cpu,2,8,32,50000,50000,50000,5000,8,1,1,0.0,-1.0,0.05839,0.562024,8.064911,0.0,0.0,2026-02-14T20:53:41
matmul,cpp,perlmutter-gpu-cpu,8,32,32,50000,50000,50000,5000,8,4,1,0.082401,0.063822,0.024048,0.102409,2.065437,0.0,0.095817,2026-06-04T09:26:48
matmul1comm,cpp,perlmutter-gpu-cpu,16,64,32,50000,50000,50000,5000,64,1,1,0.0,-1.0,0.076795,0.692706,1.1365,0.0,0.0,2026-02-14T20:46:11
matmul1gen,cpp,perlmutter-gpu-cpu,8,32,32,50000,50000,50000,5000,32,1,1,0.0,-1.0,0.180971,0.0,2.170539,0.0,0.0,2026-02-14T20:45:22
matmul1gen,cpp,perlmutter-gpu-cpu,128,2048,8,1000000,1000000,1000000,1000,2048,1,1,0.0,-1.0,2.490986,0.0,11.00051,0.0,0.0,2026-02-13T06:56:20
matmul1gen,cpp,perlmutter-gpu-cpu,4,16,32,50000,50000,50000,5000,16,1,1,0.0,-1.0,0.240792,0.0,4.235079,0.0,0.0,2026-02-14T20:46:29
matmul1comm,cpp,perlmutter-gpu-cpu,16,256,8,50000,50000,50000,500,256,1,1,0.0,-1.0,0.091974,0.256171,0.137938,0.0,0.0,2026-02-13T07:33:39
matmul,cpp,perlmutter-cpu,16,64,64,50000,50000,50000,50000,4,4,4,0.561836,-1.0,-1.0,1.238493,6.420236,0.0,0.251033,2025-08-10T11:49:24
