alg,impl,system,nnode,nproc,thread_per_proc,a_rows,a_cols,b_rows,b_cols,p1,p2,p3,gather_a_time,gen_b_time,gather_b_time,local_multiply_time,cpu_gpu_data_move_time,scatter_reduce_time,timestamp
matmul1gen,cpp,perlmutter-gpu-cpu,64,1024,8,1000000,1000000,1000000,1000,1024,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-13T07:13:11
matmul1comm,cpp,perlmutter-gpu-cpu,16,256,8,50000,50000,50000,500,256,1,1,0.0,0.089597,0.257276,0.133094,0.0,0.0,2026-02-13T07:34:41
matmul1gen,cpp,perlmutter-gpu-cpu,32,512,8,50000,50000,50000,5000,512,1,1,0.0,1.571984,0.0,1.217468,0.0,0.0,2026-02-13T07:41:21
matmul1gen,cpp,perlmutter-gpu-cpu,4,64,8,50000,50000,50000,5000,64,1,1,0.0,0.649224,0.0,4.180915,0.0,0.0,2026-02-13T07:26:56
matmul1gen,cpp,perlmutter-gpu-cpu,512,8192,8,1000000,1000000,1000000,1000,8192,1,1,0.0,2.628591,0.0,2.891325,0.0,0.0,2026-02-13T09:17:09
matmul1gen,cpp,perlmutter-gpu-cpu,1,16,8,50000,50000,50000,5000,16,1,1,0.0,0.63903,0.0,15.814109,0.0,0.0,2026-02-13T07:19:10
matmul,cpp,perlmutter-gpu,128,512,32,50000,50000,50000,50000,8,8,8,0.07752,0.0,0.051695,0.042407,0.410739,0.050351,2025-08-10T10:35:23
matmul1comm,cpp,perlmutter-gpu-cpu,32,512,8,50000,50000,50000,500,512,1,1,0.0,0.020694,66.594485,0.106144,0.0,0.0,2026-02-13T07:55:06
matmul,cpp,perlmutter-gpu,4,16,32,50000,50000,50000,5000,4,2,2,0.060551,0.0,0.103006,0.031061,0.0,0.462858,2025-08-26T13:39:24
matmul1comm,cpp,perlmutter-gpu-cpu,2,32,8,50000,50000,50000,5000,32,1,1,0.0,0.03211,0.876177,8.043366,0.0,0.0,2026-02-13T07:24:03
matmul1gen,cpp,perlmutter-gpu-cpu,2,32,8,50000,50000,50000,5000,32,1,1,0.0,0.65743,0.0,8.007929,0.0,0.0,2026-02-13T07:19:30
matmul1gen,cpp,perlmutter-gpu-cpu,1,16,8,50000,50000,50000,5000,16,1,1,0.0,0.629853,0.0,15.76468,0.0,0.0,2026-02-13T07:18:48
matmul1comm,cpp,perlmutter-cpu,1,8,32,50000,50000,50000,5000,8,1,1,0.0,0.041403,1.514741,8.122422,0.0,0.0,2025-06-25T14:06:48
matmul,cpp,perlmutter-gpu-cpu,1,4,32,80000,80000,80000,5000,4,1,1,1.401068,0.0,0.86137,42.060854,0.0,0.099003,2026-01-23T08:49:48
matmul1gen,cpp,perlmutter-gpu-cpu,4,64,8,50000,50000,50000,5000,64,1,1,0.0,0.646622,0.0,4.17395,0.0,0.0,2026-02-13T07:27:54
matmul1gen,cpp,perlmutter-gpu,16,64,32,50000,50000,50000,5000,64,1,1,0.0,0.081093,0.0,0.151577,0.0,0.0,2025-10-05T12:33:30
matmul,cpp,perlmutter-gpu,8,32,32,50000,50000,50000,50000,4,4,2,0.166737,0.0,0.39856,0.048777,3.027051,0.863956,2025-08-10T09:21:41
matmul1gen,cpp,perlmutter-gpu-cpu,16,256,8,50000,50000,50000,500,256,1,1,0.0,0.084934,0.0,0.135119,0.0,0.0,2026-02-13T07:30:54
matmul1comm,cpp,perlmutter-gpu-cpu,4,64,8,50000,50000,50000,5000,64,1,1,0.0,0.023672,0.842104,4.18452,0.0,0.0,2026-02-13T07:32:23
matmul1gen,cpp,perlmutter-gpu-cpu,8,128,8,50000,50000,50000,500,128,1,1,0.0,0.205468,0.0,0.180211,0.0,0.0,2026-02-13T07:38:20
matmul1gen,cpp,perlmutter-gpu-cpu,1,16,8,50000,50000,50000,500,16,1,1,0.0,0.114467,0.0,1.681493,0.0,0.0,2026-02-13T07:24:45
matmul1comm,cpp,perlmutter-gpu-cpu,128,512,32,1000000,1000000,1000000,1000,512,1,1,0.0,0.019091,3.794565,10.75836,0.0,0.0,2026-02-06T16:36:18
matmul1comm,python,perlmutter-cpu,4,512,2,50000,50000,50000,5000,512,1,1,0.0,0.002222616999915772,10.338491319999775,4.777142473999902,0.0,0.0,2025-06-18T05:55:10
matmul1gen,cpp,perlmutter-gpu-cpu,16,256,8,50000,50000,50000,5000,256,1,1,0.0,0.692383,0.0,1.25962,0.0,0.0,2026-02-13T07:26:27
matmul1gen,cpp,perlmutter-cpu,4,32,32,50000,50000,50000,5000,32,1,1,0.0,0.467796,0.0,2.262035,0.0,0.0,2025-06-25T14:11:18
matmul1comm,cpp,perlmutter-cpu,8,32,64,50000,50000,50000,5000,32,1,1,0.0,0.010323,2.867446,1.444919,0.0,0.0,2025-08-10T11:32:26
matmul1comm,cpp,perlmutter-gpu,64,256,32,50000,50000,50000,500,256,1,1,0.0,0.044002,0.383702,0.027914,0.0,0.0,2025-10-05T12:41:32
matmul1gen,cpp,perlmutter-cpu,2,8,64,50000,50000,50000,5000,8,1,1,0.0,0.466115,0.0,4.587324,0.0,0.0,2025-08-10T11:23:57
matmul1comm,cpp,perlmutter-gpu-cpu,4,64,8,50000,50000,50000,500,64,1,1,0.0,0.054106,0.170086,0.436673,0.0,0.0,2026-02-13T07:36:00
matmul1gen,cpp,perlmutter-gpu-cpu,32,512,8,50000,50000,50000,500,512,1,1,0.0,0.106404,0.0,0.067607,0.0,0.0,2026-02-13T07:49:24
matmul1gen,cpp,perlmutter-gpu-cpu,16,256,8,50000,50000,50000,5000,256,1,1,0.0,0.66498,0.0,1.266141,0.0,0.0,2026-02-13T07:27:17
matmul1gen,cpp,perlmutter-gpu-cpu,512,8192,8,1000000,1000000,1000000,1000,8192,1,1,0.0,2.632709,0.0,2.856598,0.0,0.0,2026-02-13T09:15:26
matmul1gen,cpp,perlmutter-gpu-cpu,32,512,8,50000,50000,50000,5000,512,1,1,0.0,0.588981,0.0,0.93032,0.0,0.0,2026-02-13T07:42:31
matmul1comm,cpp,perlmutter-gpu-cpu,16,256,8,50000,50000,50000,500,256,1,1,0.0,0.014914,0.28499,0.130124,0.0,0.0,2026-02-13T07:34:10
matmul1gen,cpp,perlmutter-gpu-cpu,1,4,32,50000,50000,50000,5000,4,1,1,0.0,0.392453,0.0,17.504809,0.0,0.0,2025-10-05T12:05:32
matmul1gen,cpp,perlmutter-gpu-cpu,512,8192,8,1000000,1000000,1000000,1000,8192,1,1,0.0,2.50312,0.0,2.807615,0.0,0.0,2026-02-13T09:14:51
matmul,cpp,perlmutter-cpu,4,512,2,50000,50000,50000,50000,8,8,8,0.54869,0.0,5.256466,18.940729,0.0,0.629196,2025-06-17T04:19:26
matmul,cpp,perlmutter-gpu-cpu,4,16,32,50000,50000,50000,5000,4,2,2,0.337951,0.0,0.093435,4.532333,0.0,0.113079,2025-08-26T09:57:41
matmul1gen,cpp,perlmutter-gpu-cpu,8,128,8,50000,50000,50000,500,128,1,1,0.0,0.308159,0.0,0.164524,0.0,0.0,2026-02-13T07:37:17
matmul,python,perlmutter-cpu,8,1024,2,50000,50000,50000,50000,16,8,8,0.24162698800000726,0.0,5.748329228000102,9.37680215499995,0.0,0.26476777599987145,2025-06-17T04:27:21
matmul1gen,cpp,perlmutter-gpu-cpu,16,256,8,50000,50000,50000,5000,256,1,1,0.0,0.642226,0.0,1.276479,0.0,0.0,2026-02-13T07:26:10
matmul,python,perlmutter-cpu,2,16,32,50000,50000,50000,50000,4,2,2,0.6283693129998937,0.0,8.75297321700009,38.20837506499993,0.0,4.571032718999959,2025-06-25T13:58:12
matmul1gen,cpp,perlmutter-gpu-cpu,1,16,8,50000,50000,50000,5000,16,1,1,0.0,0.687442,0.0,15.886859,0.0,0.0,2026-02-13T07:18:27
matmul1comm,cpp,perlmutter-gpu-cpu,16,256,8,50000,50000,50000,5000,256,1,1,0.0,0.021931,1.040276,1.269217,0.0,0.0,2026-02-13T07:28:25
matmul,cpp,perlmutter-cpu,8,64,32,50000,50000,50000,50000,4,4,4,0.550049,0.0,1.563812,10.226991,0.0,0.373611,2025-06-25T13:45:49
matmul1gen,cpp,perlmutter-gpu-cpu,64,1024,8,1000000,1000000,1000000,1000,1024,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-13T07:12:16
matmul1gen,cpp,perlmutter-gpu,512,2048,32,1000000,1000000,1000000,1000,2048,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-13T09:19:13
matmul1gen,cpp,perlmutter-gpu-cpu,192,3072,8,1000000,1000000,1000000,1000,3072,1,1,0.0,2.626777,0.0,7.654412,0.0,0.0,2026-02-13T05:11:42
