alg,impl,system,nnode,nproc,nthread,n,r,matmul1p1,matmul1p2,matmul1p3,matmul2p1,matmul2p2,matmul2p3,total_time,gen_omega_time,dgemm1_time,dgemm2_time,all2all_time,reduce_scatter_time,reduce_scatter_1_time,reduce_scatter_2_time,unpack_time,pack_time
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,16,64,32,50000,500,64,1,1,64,1,1,0.328493,0.130389,0.178621,0.007446,0.0,0.004856,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,8,32,32,50000,5000,32,1,1,1,1,32,2.834866,0.261913,2.272551,0.258163,0.020122,0.0,0.0,0.0,0.010141,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,8,32,32,50000,5000,32,1,1,32,1,1,0.80886,0.054875,0.213267,0.02501,0.0,0.407267,0.0,0.0,0.0,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,16,64,32,50000,500,64,1,1,64,1,1,0.808084,0.082075,0.036565,0.000905,0.0,0.649237,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,1,4,32,50000,5000,4,1,1,1,1,4,22.739492,0.162643,17.650617,2.327537,0.125821,0.0,0.0,0.0,0.050376,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,8,32,32,50000,500,8,4,1,1,32,1,0.380296,0.081632,0.047201,0.00108,0.0,0.0,0.000867,0.126363,0.0,0.018778
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,64,256,32,50000,500,256,1,1,1,1,256,0.397636,0.14057,0.113973,0.062849,0.052836,0.0,0.0,0.0,0.018445,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,8,32,32,50000,500,32,1,1,32,1,1,0.417253,0.110154,0.283993,0.014814,0.0,0.001977,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,8,32,32,50000,500,32,1,1,1,1,32,0.244128,0.078651,0.046889,0.00559,0.048799,0.0,0.0,0.0,0.023021,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,128,512,32,50000,5000,512,1,1,1,1,512,1.655903,0.487592,0.604198,0.464547,0.040279,0.0,0.0,0.0,0.017942,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,8,32,32,50000,5000,32,1,1,32,1,1,0.944367,0.090292,0.216825,0.08576,0.0,0.436451,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,32,128,32,50000,500,16,8,1,1,128,1,1.318284,0.093261,0.032839,0.000835,0.0,0.0,0.000821,1.001859,0.0,0.046957
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,16,64,32,50000,5000,64,1,1,64,1,1,1.168792,0.076527,0.12895,0.010555,0.0,0.882649,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,64,256,32,50000,5000,256,1,1,1,1,256,0.42707,0.11018,0.059827,0.000266,0.071278,0.0,0.0,0.0,0.090265,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,4,16,32,50000,5000,16,1,1,1,1,16,0.556798,0.055062,0.396662,0.037959,0.029116,0.0,0.0,0.0,0.017624,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,1,4,32,50000,500,2,2,1,1,4,1,0.325374,0.068561,0.177296,0.004414,0.0,0.0,0.034391,0.006153,0.0,0.008715
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,32,128,32,50000,5000,128,1,1,128,1,1,1.76405,0.081621,0.082104,0.007364,0.0,1.501302,0.0,0.0,0.0,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,64,256,32,50000,5000,256,1,1,256,1,1,1.06008,0.291472,0.421752,0.10286,0.0,0.219935,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,16,64,32,50000,5000,8,8,1,1,64,1,1.671451,0.263393,1.109922,0.16965,0.0,0.0,0.006304,0.058717,0.0,0.041935
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,64,256,32,50000,5000,256,1,1,256,1,1,3.06118,0.098403,0.0594,0.003749,0.0,2.765603,0.0,0.0,0.0,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,2,8,32,50000,5000,8,1,1,8,1,1,9.258678,0.231288,8.079909,0.875898,0.0,0.050259,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,128,512,32,50000,5000,512,1,1,1,1,512,0.719674,0.094504,0.050189,0.008259,0.331586,0.0,0.0,0.0,0.158496,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,1,4,32,50000,500,4,1,1,1,1,4,5.33875,0.07278,1.702554,0.038592,0.025202,0.0,0.0,0.0,0.006506,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,8,32,32,50000,5000,32,1,1,32,1,1,0.788104,0.082081,0.213532,0.0251,0.0,0.433731,0.0,0.0,0.0,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,2,8,32,50000,500,8,1,1,8,1,1,0.177579,0.048207,0.101553,0.003459,0.0,0.013545,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,4,16,32,50000,5000,4,4,1,1,16,1,5.505015,0.267446,4.599673,0.486835,0.0,0.0,0.018498,0.044309,0.0,0.074279
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,32,128,32,50000,500,16,8,1,1,128,1,1.343871,0.088924,0.031678,0.000833,0.0,0.0,0.000829,1.136932,0.0,0.039238
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,2,8,32,50000,500,8,1,1,8,1,1,1.034685,0.101728,0.893628,0.031109,0.0,0.00158,0.0,0.0,0.0,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,16,64,32,50000,5000,64,1,1,64,1,1,1.155367,0.089386,0.128514,0.010557,0.0,0.797645,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,2,8,32,50000,500,4,2,1,1,8,1,0.241222,0.042399,0.101827,0.003598,0.0,0.0,0.00095,0.061075,0.0,0.008512
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,16,64,32,50000,500,64,1,1,64,1,1,0.318488,0.12454,0.175885,0.008574,0.0,0.007164,0.0,0.0,0.0,0.0
